"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"VPS4B",18.9467965650929,-0.186161867517575,0.370682333483033,-0.502214027219336,0.615516976870784,0.999577022813176,"VPS4B"
"SERPINB5",9.04915573500514,-0.489288750524447,0.610362956892425,-0.801635723464593,0.422763706854863,0.999577022813176,"SERPINB5"
"SOCS6",8.01160458298251,0.229421453504839,0.531803712111055,0.431402504871816,0.666175728906172,0.999577022813176,"SOCS6"
"TIMM21",7.61806980376587,-0.265518390271235,0.563716531049406,-0.471014021492239,0.637630721984311,0.999577022813176,"TIMM21"
"CYB5A",62.740093469627,-0.490278103829464,0.325514868770475,-1.5061619325757,0.132025609071154,0.999577022813176,"CYB5A"
"CNDP2",19.842749688355,0.0513072647092566,0.366539996399444,0.139977260908093,0.888677956652469,0.999577022813176,"CNDP2"
"ZADH2",9.76050309559939,-0.455852024363329,0.488550791513742,-0.933069871713651,0.350783893627747,0.999577022813176,"ZADH2"
"TSHZ1",3.86946354706715,-0.985055897459003,0.821187054902008,-1.19955117604301,0.230313698094061,0.999577022813176,"TSHZ1"
"MBP",10.2391689236894,-0.387063622539138,0.471067116214622,-0.821674044347407,0.411262435317978,0.999577022813176,"MBP"
"PQLC1",4.72929077067539,0.159136300157763,0.636845234385608,0.249882218732921,0.802678434496434,0.999577022813176,"PQLC1"
"HSBP1L1",13.4137071707946,0.11075220826043,0.431020259062417,0.256953602369747,0.797214590640075,0.999577022813176,"HSBP1L1"
"TXNL4A",32.4809262900476,-0.0901800010399239,0.36135213957685,-0.249562659696789,0.802925578216102,0.999577022813176,"TXNL4A"
"RBFA",6.71398963946691,0.00582392037102987,0.550450552956478,0.0105802789001655,0.99155831631378,0.999577022813176,"RBFA"
"ADNP2",4.49486808564237,0.502712781464963,0.613252988113163,0.819747789589567,0.412359900312627,0.999577022813176,"ADNP2"
"RBCK1",23.6304958634538,-0.101985298862501,0.347175332124718,-0.293757330736458,0.76894334233161,0.999577022813176,"RBCK1"
"TBC1D20",4.43852228699184,1.10572959009892,0.631474110457323,1.7510291740989,0.079940884822794,0.999577022813176,"TBC1D20"
"CSNK2A1",10.6229363876944,-0.282299906645786,0.484063500889002,-0.583187755588536,0.559766912991339,0.999577022813176,"CSNK2A1"
