"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"EFHD2",12.3357268408671,0.280345614351951,0.398804795641522,0.702964501469908,0.482077872256767,0.99913583269559,"EFHD2"
"NECAP2",4.69595314759739,-0.368992865814827,0.555705598135901,-0.664007825461186,0.506685302564755,0.99913583269559,"NECAP2"
"RP11-108M9.4",4.39182522424263,0.459691537124621,0.562005697926283,0.81794817885444,0.413386778152664,0.99913583269559,"RP11-108M9.4"
"SDHB",4.7820946802679,-0.375753906934603,0.59203734753167,-0.634679397340727,0.525637533368794,0.99913583269559,"SDHB"
"RCC2",3.2139620641084,0.00794979440670983,0.675591279467575,0.011767165516072,0.990611376978615,0.99913583269559,"RCC2"
"AKR7A2",4.90823303756574,-0.0617389253384922,0.603476649320951,-0.102305408847157,0.918514262197735,0.99913583269559,"AKR7A2"
"CAPZB",21.9666411674904,-0.340959767727812,0.388397433830218,-0.877863080518851,0.380018026804274,0.99913583269559,"CAPZB"
"MINOS1",13.7992675182922,0.46090771049975,0.339334017002497,1.35827145940502,0.174377563015179,0.99913583269559,"MINOS1"
"PLA2G2A",2.43857233575761,-0.13734177601097,1.18206672932146,-0.116187836612073,0.907503676440025,0.99913583269559,"PLA2G2A"
"DDOST",7.77943097871574,-0.506820072438261,0.464414743485589,-1.09130917902047,0.275136860140633,0.99913583269559,"DDOST"
"HP1BP3",3.65771130891536,0.357078060516802,0.662431597416239,0.539041407308401,0.589858283492614,0.99913583269559,"HP1BP3"
"CDC42",31.891492748715,0.149365561320479,0.328256541228,0.455026915112509,0.649089875566205,0.99913583269559,"CDC42"
"C1QA",164.16183033914,0.492513237076965,0.741996251874144,0.663767823399334,0.506838922659705,0.99913583269559,"C1QA"
"C1QC",103.133221766703,0.629761428087069,0.881797433562402,0.714179248110165,0.47511634722782,0.99913583269559,"C1QC"
"C1QB",104.974907888329,0.848138437059513,0.775330301763042,1.09390595870033,0.273996225118,0.99913583269559,"C1QB"
"HNRNPR",5.34777042449008,-0.356870360917635,0.578737653583975,-0.616635808483564,0.537474970029241,0.99913583269559,"HNRNPR"
"RPL11",400.452992796332,-0.0960182136477767,0.234378378797837,-0.40967180565148,0.682046715076267,0.99913583269559,"RPL11"
"FUCA1",1.79853522167792,0.0936047836709446,0.901277771787908,0.103857863359102,0.91728214637744,0.99913583269559,"FUCA1"
"PNRC2",4.76228245542327,-0.0430799457997352,0.569202286664555,-0.0756847728988891,0.939669890709622,0.99913583269559,"PNRC2"
"SRSF10",5.35643230825599,0.0519025842462136,0.560166167214272,0.0926556926926294,0.926177097631641,0.99913583269559,"SRSF10"
"SRRM1",10.6721943150559,0.0765782738543932,0.36570147628292,0.209401052007647,0.834135171585522,0.99913583269559,"SRRM1"
"RUNX3",9.21413883704217,-0.618059702902239,0.981390642834313,-0.629779494450086,0.528838863525469,0.99913583269559,"RUNX3"
"SYF2",8.22292410396277,-0.170262954778522,0.540535656978016,-0.314989312139766,0.752769768801553,0.99913583269559,"SYF2"
"RSRP1",6.59736921232237,0.206136768879332,0.547378412546589,0.37658914592615,0.706478955220695,0.99913583269559,"RSRP1"
"TMEM50A",5.71260782598882,-0.0577215140615941,0.595874521763645,-0.0968685720791556,0.922830767248837,0.99913583269559,"TMEM50A"
"STMN1",4.01871534368373,-1.08360913324388,0.886483412872408,-1.22236819945987,0.221568419369734,0.99913583269559,"STMN1"
"ZNF593",3.52845965551821,-0.256528155904771,0.642113969962459,-0.399505645266944,0.689520664940811,0.99913583269559,"ZNF593"
"SH3BGRL3",72.0884266718823,0.470615690885801,0.417112899869505,1.12826932716067,0.259206193192634,0.99913583269559,"SH3BGRL3"
"CD52",53.4827168519895,-0.00260140836304495,0.55868228776241,-0.00465632868631634,0.996284800656288,0.99913583269559,"CD52"
"HMGN2",44.3246942684745,-0.190076972376148,0.571847195894779,-0.33239119425729,0.739593886899293,0.99913583269559,"HMGN2"
"RPS6KA1",4.73918510469625,-0.303359340807562,0.55954148424181,-0.542157014896975,0.587710344459162,0.99913583269559,"RPS6KA1"
"ARID1A",3.83823073690882,0.00619219333663905,0.90118364393144,0.00687117812039445,0.994517636203133,0.99913583269559,"ARID1A"
"NUDC",4.33926333638061,-0.0614464861807829,0.542657237653934,-0.113232593094002,0.909846156277531,0.99913583269559,"NUDC"
