"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"MGST3",882.798379575245,-0.799935539305825,0.241872529189557,-3.30726082034273,0.000942131277068433,0.309907354082539,"MGST3"
"ALDH9A1",110.265371565102,-0.415665449642808,0.197940247052725,-2.09995418229465,0.0357328717744187,0.999220134952063,"ALDH9A1"
"TMCO1",481.548435291626,-0.183371921933436,0.147282870096961,-1.2450322417856,0.213119898913762,0.999220134952063,"TMCO1"
"UCK2",62.2097426135008,-0.26686069490754,0.275267044807506,-0.969461110370678,0.332315174725744,0.999220134952063,"UCK2"
"POGK",22.1446941890618,0.167052556185384,0.350991787785154,0.475944343995988,0.634114029207788,0.999220134952063,"POGK"
"TADA1",11.8387169404144,0.259401329036221,0.442919128717316,0.585662962418086,0.558102028179151,0.999220134952063,"TADA1"
"GPA33",583.186703395541,0.325349064306797,0.156019413344607,2.08531141947177,0.0370410415251833,0.999220134952063,"GPA33"
"POU2F1",17.9752989461126,-0.0216185173804636,0.368601912979341,-0.0586500411941032,0.953230852142104,0.999220134952063,"POU2F1"
"CD247",4.30044311169378,1.37360308730209,0.720124153675456,1.90745315275336,0.0564619319931051,0.999220134952063,"CD247"
"CREG1",58.5977651616438,0.32481601694464,0.262785330524595,1.2360507958957,0.21643968287996,0.999220134952063,"CREG1"
"RCSD1",6.49304950145514,-1.22733897348927,0.913753659388528,-1.34318364788885,0.179212515196479,0.999220134952063,"RCSD1"
"MPZL1",108.276689679618,-0.164529064103373,0.245188881301462,-0.671029873908036,0.502201498633498,0.999220134952063,"MPZL1"
"MPC2",514.707080907215,-0.369713011046459,0.287183738796638,-1.28737446136622,0.197963801374195,0.999220134952063,"MPC2"
"DCAF6",73.9608915744033,-0.129611384582823,0.203712810715878,-0.636245625041199,0.524616339630705,0.999220134952063,"DCAF6"
"TIPRL",52.9528137542998,-0.141649749124364,0.259581586390613,-0.545684888878105,0.585282560964171,0.999220134952063,"TIPRL"
"SFT2D2",107.701383396862,-0.0474242412903513,0.203075547874421,-0.233530042325321,0.815349843958965,0.999220134952063,"SFT2D2"
"ATP1B1",1477.30992593072,-0.0801838433759722,0.252337613647795,-0.317764134394528,0.750663858257829,0.999220134952063,"ATP1B1"
"NME7",11.4344668349236,-0.61895558170393,0.589322623965258,-1.050283081853,0.293587981169665,0.999220134952063,"NME7"
"BLZF1",30.1171055430379,-0.023552863826256,0.386182937405341,-0.0609888774074312,0.951368067109293,0.999220134952063,"BLZF1"
"SLC19A2",10.1251324247127,0.264967561067192,0.487172264318342,0.543888846870087,0.586517964351922,0.999220134952063,"SLC19A2"
"METTL18",6.28169323836727,-0.117536841514857,0.696089840263433,-0.168852976607697,0.865912287222376,0.999220134952063,"METTL18"
"SCYL3",32.3797224230105,-0.15759965057181,0.338417215626711,-0.465696315951165,0.641432889741803,0.999220134952063,"SCYL3"
"KIFAP3",28.0077949139181,-0.95580590747599,0.380240165939768,-2.51369001250487,0.0119475397885214,0.759955942459929,"KIFAP3"
"GORAB",7.97495468072367,-0.76459766533835,0.841639855969145,-0.908461808118532,0.363634283084,0.999220134952063,"GORAB"
"FMO1",132.497202777584,0.411684268520023,0.202834393682484,2.02965710620296,0.0423914058192313,0.999220134952063,"FMO1"
"FMO4",32.8369535214694,0.39776787393423,0.389706418783965,1.02068596964715,0.307403243916664,0.999220134952063,"FMO4"
"PRRC2C",210.874549557517,0.0699969121522474,0.178037909254847,0.39315734747285,0.694203270120883,0.999220134952063,"PRRC2C"
"VAMP4",29.6746336575105,0.138014345761978,0.336954212814792,0.409593768272123,0.682103969051218,0.999220134952063,"VAMP4"
"METTL13",27.3783179750145,0.0509037817801952,0.382447266256388,0.133100132414255,0.894114190427688,0.999220134952063,"METTL13"
"PIGC",36.1325581297741,-0.146664220996986,0.291735161068771,-0.502730697457522,0.615153624080841,0.999220134952063,"PIGC"
"C1orf105",6.75131342251137,-0.627941068717871,0.791159357220332,-0.79369732909952,0.427371655517929,0.999220134952063,"C1orf105"
"SUCO",115.414712890032,-0.190851748922235,0.221948081732893,-0.859893662662599,0.389847662204937,0.999220134952063,"SUCO"
"PRDX6",254.82778917552,-0.174364075126329,0.267584180218597,-0.651623257338629,0.514644240534763,0.999220134952063,"PRDX6"
"KLHL20",39.2974768933743,-0.0521841213700786,0.308540062173291,-0.169132400513906,0.865692500114661,0.999220134952063,"KLHL20"
"DARS2",7.92262175409364,-0.41871661112044,0.547900755533403,-0.764219809685794,0.444736263366345,0.999220134952063,"DARS2"
"ZBTB37",11.8086905927679,0.526185200722707,0.447720096193571,1.17525481924138,0.239892784313175,0.999220134952063,"ZBTB37"
"RC3H1",55.2845855388104,0.134026010970984,0.312429915445889,0.428979442572606,0.667938185211621,0.999220134952063,"RC3H1"
"RP11-160H22.5",18.0534722948318,-0.275185766577835,0.562641336294921,-0.489096248046713,0.624773557611884,0.999220134952063,"RP11-160H22.5"
"RABGAP1L",108.911536592171,0.194320708638594,0.251125971698581,0.773797737144572,0.439050410895815,0.999220134952063,"RABGAP1L"
"CACYBP",103.215945109961,-0.452603436203894,0.238334635933062,-1.89902501762694,0.0575611867206946,0.999220134952063,"CACYBP"
"MRPS14",37.455426905281,-0.419630555695757,0.308273469344827,-1.36122825161567,0.173441568731877,0.999220134952063,"MRPS14"
"KIAA0040",12.3203065961867,0.203517961638692,0.616345305387708,0.330201203545585,0.741247937495493,0.999220134952063,"KIAA0040"
"RFWD2",41.7167217763871,0.140366157264746,0.347402041339067,0.404045286330795,0.686179417866215,0.999220134952063,"RFWD2"
