"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"HSD17B12",3.75219330335044,-0.564495126064535,0.710444624330923,-0.79456597563274,0.426866016816004,0.999990461206455,"HSD17B12"
"C11orf96",37.2507914547799,-0.0392070913706226,0.622629051213682,-0.0629702248781949,0.949790214355638,0.999990461206455,"C11orf96"
"CD82",3.34075433022953,1.00579942371514,0.772180107213825,1.30254511132675,0.192730107303553,0.999990461206455,"CD82"
"TP53I11",4.65319896506987,-0.836711140759653,0.62967808288613,-1.32879190732602,0.18391663284085,0.999990461206455,"TP53I11"
"CHST1",1.9784384008399,-1.11280081433828,0.783417848892809,-1.42044352947917,0.15547859774513,0.999990461206455,"CHST1"
"CREB3L1",1.60486609120471,0.461649727854827,0.866874550418778,0.532545023535192,0.594348567209447,0.999990461206455,"CREB3L1"
"MDK",9.77334828210801,-0.379550060370065,0.472190588540573,-0.803806915218625,0.421508495421185,0.999990461206455,"MDK"
"ARHGAP1",2.04527752368068,-0.767811845443583,0.739708341086914,-1.03799268278545,0.299273461704964,0.999990461206455,"ARHGAP1"
"LRP4",1.60042930702835,-0.960433231167859,0.814847342712686,-1.17866645790426,0.238531016955251,0.999990461206455,"LRP4"
"C11orf49",2.00098641644621,-0.429945697539109,0.927666973333826,-0.463469876472999,0.643027602165981,0.999990461206455,"C11orf49"
"ARFGAP2",2.37971993990282,-0.0243101628565832,0.748713833429364,-0.0324692315957812,0.974097852715988,0.999990461206455,"ARFGAP2"
"SLC39A13",1.19949725419999,0.676064902311274,0.827348399227019,0.817146564788079,0.413844675059221,0.999990461206455,"SLC39A13"
"PSMC3",6.1328506927585,0.326160570742088,0.519067185843272,0.628359063407583,0.529768747828719,0.999990461206455,"PSMC3"
"CELF1",1.14155742792647,0.733618002768432,0.983400138660451,0.74600152463649,0.45566649403657,0.999990461206455,"CELF1"
"NDUFS3",3.05077325278055,-0.412866051103987,0.644744807756318,-0.640355759576787,0.521941337692141,0.999990461206455,"NDUFS3"
"PTPMT1",1.59286947082566,0.0324032871217661,0.845797739338794,0.0383109171550842,0.969439786546437,0.999990461206455,"PTPMT1"
"MTCH2",1.48175991184814,0.0950939768094158,0.939883960263824,0.101176294978715,0.919410514007487,0.999990461206455,"MTCH2"
"FNBP4",1.77873315881027,-0.458083510471423,0.729659119332921,-0.62780481780344,0.530131809638567,0.999990461206455,"FNBP4"
"SSRP1",6.15745132406986,0.814407426470471,0.584282541533605,1.39385890999386,0.163360214561704,0.999990461206455,"SSRP1"
"TIMM10",1.7162848428899,-0.628384307128811,0.714881786224594,-0.879004500097016,0.379398835868413,0.999990461206455,"TIMM10"
"UBE2L6",4.5050800948163,-0.223609907426629,0.528268063410422,-0.423288710627396,0.672084630019956,0.999990461206455,"UBE2L6"
"SERPING1",11.3456792184576,0.381975212410293,0.436082967235144,0.875923255687088,0.381071755985282,0.999990461206455,"SERPING1"
"TMX2",2.9663535333334,0.847825215023725,0.806107698827312,1.05175178981308,0.292913443052288,0.999990461206455,"TMX2"
"C11orf31",9.04448103225082,0.115661329875723,0.364443502225926,0.317364225646207,0.750967248992777,0.999990461206455,"C11orf31"
"CTNND1",1.35869742729241,-0.498217631240714,0.825217436533718,-0.603741037433056,0.546015825946605,0.999990461206455,"CTNND1"
"ZFP91",1.12570123626653,-0.023655716103477,0.891940470976215,-0.0265216310653403,0.978841280571056,0.999990461206455,"ZFP91"
"MRPL16",1.86669828658699,0.0871479480845921,0.738275279661098,0.118042619718484,0.906033888277765,0.999990461206455,"MRPL16"
"PTGDR2",3.1155249307371,-0.967709770712328,0.971244747107433,-0.996360364979442,0.319075083474067,0.999990461206455,"PTGDR2"
"TMEM109",2.9703079654959,-0.0422014589661212,0.662795544958026,-0.0636719110246793,0.94923147110449,0.999990461206455,"TMEM109"
"TMEM216",0.634742302865169,0.437003323211548,1.11463458724872,0.392059719132002,0.695014089205301,NA,"TMEM216"
"SDHAF2",1.50746896859262,0.614253054116152,0.843551757299133,0.72817470748073,0.466506646489667,0.999990461206455,"SDHAF2"
"TMEM258",17.1145531396309,0.237648473672023,0.316016644632041,0.752012521203536,0.452043528935686,0.999990461206455,"TMEM258"
"FTH1",242.435818956423,1.0141243965153,0.289542407949991,3.50250729658386,0.000460901159430657,0.0928459780053091,"FTH1"
"AHNAK",6.3279301768123,-0.697824787661715,0.464522922473736,-1.50223972575039,0.133035208705359,0.999990461206455,"AHNAK"
"EEF1G",1.65920444388384,0.272293129083411,1.06016230351623,0.256840983857189,NA,NA,"EEF1G"
"B3GAT3",2.26792814138108,0.21651070529231,0.64739286948803,0.334434800716188,0.738051482498228,0.999990461206455,"B3GAT3"
"GANAB",2.78062162524799,0.26640325365576,0.600735196550108,0.443462036494043,0.657431572790759,0.999990461206455,"GANAB"
"METTL12",1.20460117759785,-0.0651357763079504,1.06085972460521,-0.0613990472040874,0.951041411150906,0.999990461206455,"METTL12"
